일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-19,509000,521000,507000,521000,173544,3.373015873015873,18363,154,-8527,-9990,0,23356.0,11.300000190734863,588411.0,0.5600000023841858
2025-12-18,510000,513000,500000,504000,208429,-2.8901734104046244,-14865,4299,46973,-36407,0,12288.0,4.980000019073486,588411.0,0.5600000023841858
2025-12-17,528000,529000,514000,519000,254731,-0.9541984732824428,-9316,36,27816,-18536,0,17094.0,5.840000152587891,588411.0,0.5600000023841858
2025-12-16,545000,549000,522000,524000,239050,-4.900181488203267,-23090,291,60851,-38052,0,11230.0,3.9700000286102295,595401.0,0.5699999928474426
2025-12-15,555000,561000,551000,551000,155699,-3.8394415357766145,-4201,-843,38662,-33618,0,21364.0,11.729999542236328,622831.0,0.5899999737739563
2025-12-12,560000,573000,555000,573000,129509,2.5044722719141324,21270,-52,-61014,39796,0,13869.0,8.15999984741211,1558440.0,1.7599999904632568
2025-12-11,576000,577000,545000,559000,566185,-2.1015761821366024,31750,2369,74027,-108146,0,115335.0,18.600000381469727,1635546.0,1.840000033378601
2025-12-10,571000,582000,565000,571000,148383,-1.0398613518197575,-9937,-2843,-14342,27122,0,19412.0,10.039999961853027,1650031.0,1.8600000143051147
2025-12-09,541000,585000,539000,577000,353529,6.261510128913445,44191,-69,-111573,67451,0,42814.0,9.149999618530273,1643750.0,1.850000023841858
2025-12-08,528000,543000,514000,543000,184472,1.6853932584269662,12039,-824,-34412,23197,0,15310.0,6.190000057220459,1644979.0,1.850000023841858
2025-12-05,522000,534000,517000,534000,122342,1.3282732447817838,2866,-466,-936,-1464,0,18668.0,11.8100004196167,1635666.0,1.840000033378601
2025-12-04,535000,537000,518000,527000,119587,-1.3108614232209739,-27005,757,17714,8534,0,14930.0,10.029999732971191,1633308.0,1.840000033378601
2025-12-03,530000,535000,526000,534000,94942,2.6923076923076925,12280,186,-18568,6102,0,20909.0,17.209999084472656,1628797.0,1.8300000429153442
2025-12-02,520000,525000,516000,520000,151483,0.9708737864077669,3499,2028,9557,-15084,0,46925.0,25.030000686645508,1621244.0,1.8300000429153442
2025-12-01,536000,536000,505000,515000,224599,-3.7383177570093453,-57137,-1273,27204,31206,0,53550.0,18.280000686645508,1595304.0,1.7999999523162842
2025-11-28,557000,559000,528000,535000,246693,-3.429602888086643,-46724,2783,39784,4157,0,70804.0,23.15999984741211,1596516.0,1.7999999523162842
2025-11-27,557000,570000,546000,554000,177537,0.0,-27369,322,20270,6777,0,39797.0,18.649999618530273,1557501.0,1.75
2025-11-26,557000,567000,544000,554000,984466,1.094890510948905,-145942,561,4057,141324,0,378022.0,37.0099983215332,1551352.0,1.75
2025-11-25,570000,571000,541000,548000,187975,-0.7246376811594203,-5552,281,-5355,10626,0,40280.0,18.489999771118164,1245574.0,1.399999976158142
2025-11-24,558000,560000,532000,552000,670360,-0.5405405405405406,15904,-87,-769,-15048,0,58542.0,8.1899995803833,1209445.0,1.3600000143051147
2025-11-21,562000,571000,553000,555000,161421,-4.802744425385934,-18193,558,20951,-3316,0,18841.0,9.720000267028809,1129940.0,1.2699999809265137
2025-11-20,577000,595000,577000,583000,207365,1.5679442508710801,6766,2005,-3028,-5743,0,36698.0,15.180000305175781,1116908.0,1.2599999904632568
2025-11-19,610000,610000,563000,574000,282778,-4.809286898839138,-16200,-2983,32070,-12887,0,52355.0,14.75,1114995.0,1.2599999904632568
2025-11-18,596000,626000,592000,603000,367749,0.0,-23990,1426,-32925,55489,0,118967.0,24.479999542236328,1076815.0,1.2100000381469727
2025-11-17,586000,605000,583000,603000,251045,2.901023890784983,-25753,809,-33745,58689,0,91761.0,29.719999313354492,972971.0,1.100000023841858
2025-11-14,555000,600000,552000,586000,1117932,3.169014084507042,354027,-5034,-142659,-206334,0,371384.0,28.59000015258789,897541.0,1.0099999904632568
2025-11-13,537000,569000,529000,568000,345051,5.970149253731343,-10397,-1419,-40633,52449,0,118781.0,28.950000762939453,565036.0,0.6399999856948853
2025-11-12,542000,552000,534000,536000,231897,0.37453183520599254,-19758,1614,19190,-1046,0,42732.0,16.010000228881836,485961.0,0.550000011920929
2025-11-11,550000,555000,527000,534000,262860,-0.7434944237918215,-55017,-431,8033,47415,0,78573.0,25.639999389648438,466314.0,0.5299999713897705
2025-11-10,523000,541000,511000,538000,182710,3.262955854126679,8554,4589,24269,-37412,0,52919.0,28.959999084472656,394493.0,0.4399999976158142
2025-11-07,521000,536000,496500,521000,267709,-0.7619047619047619,-22474,4279,33258,-15063,0,47855.0,17.8799991607666,364951.0,0.4099999964237213
2025-11-06,543000,564000,525000,525000,161433,-0.5681818181818182,-18854,-1412,29316,-9050,0,23130.0,14.329999923706055,331901.0,0.3700000047683716
2025-11-05,562000,562000,521000,528000,329126,-6.878306878306878,33580,2811,38595,-74986,0,25733.0,7.820000171661377,322550.0,0.36000001430511475
2025-11-04,607000,608000,566000,567000,340933,-6.589785831960461,-102895,2453,166675,-66233,0,63832.0,18.719999313354492,270540.0,0.30000001192092896
2025-11-03,616000,635000,590000,607000,320850,1.1666666666666667,-32118,7465,26171,-1518,0,45531.0,14.1899995803833,274552.0,0.3100000023841858
2025-10-31,588000,612000,584000,600000,130969,1.0101010101010102,27166,1217,-32414,4031,0,6267.0,4.789999961853027,255094.0,0.28999999165534973
2025-10-30,629000,640000,585000,594000,244149,-0.16806722689075632,-38856,1050,49422,-11616,0,30211.0,12.369999885559082,270167.0,0.30000001192092896
2025-10-29,598000,614000,574000,595000,225324,0.16835016835016833,5163,-247,21688,-26604,0,10807.0,4.800000190734863,250096.0,0.2800000011920929
2025-10-28,618000,618000,591000,594000,218909,-4.807692307692308,6183,3115,60007,-69305,0,9354.0,4.269999980926514,259061.0,0.28999999165534973
2025-10-27,620000,640000,613000,624000,340372,5.05050505050505,-46009,5721,18249,22039,0,54890.0,12.239999771118164,269687.0,0.30000001192092896
2025-10-24,582000,601000,568000,594000,243512,2.946273830155979,-7575,1477,-8359,14457,0,37920.0,11.0600004196167,201330.0,0.23000000417232513
2025-10-23,575000,586000,571000,577000,205158,-0.6884681583476765,-20895,-874,8223,13546,0,46465.0,16.84000015258789,255318.0,0.28999999165534973
2025-10-22,582000,582000,559000,581000,261812,3.197158081705151,45163,560,3330,-49053,0,21541.0,6.019999980926514,247858.0,0.2800000011920929
2025-10-21,516000,567000,514000,563000,498022,9.9609375,4979,-2766,-167583,165370,0,43313.0,6.110000133514404,236751.0,0.27000001072883606
2025-10-20,508000,515000,504000,512000,144443,0.5893909626719057,-14787,-1184,-6002,21973,0,18093.0,9.279999732971191,306275.0,0.3499999940395355
2025-10-17,512000,521000,506000,509000,133233,0.19685039370078738,-17471,-840,135,18176,0,22294.0,12.199999809265137,293193.0,0.33000001311302185
2025-10-16,511000,521000,504000,508000,121866,0.19723865877712032,-4907,685,18152,-13930,0,22190.0,13.4399995803833,299660.0,0.3400000035762787
2025-10-15,496000,514000,490500,507000,143062,2.217741935483871,21086,-668,-17639,-2779,0,12328.0,6.550000190734863,308129.0,0.3499999940395355
2025-10-14,513000,522500,489500,496000,232559,-4.061895551257253,-21987,1723,46047,-25783,0,13177.0,4.199999809265137,317630.0,0.36000001430511475
2025-10-13,514000,528000,507000,517000,161676,0.3883495145631068,-29626,-30,18902,10754,0,50222.0,23.399999618530273,330227.0,0.3700000047683716
2025-10-10,522000,524000,509000,515000,213684,-2.462121212121212,-61912,43,43828,18041,0,44301.0,16.31999969482422,327280.0,0.3700000047683716
2025-10-02,529000,531000,512000,528000,196437,0.0,18395,1634,29,-20058,0,16795.0,6.679999828338623,315146.0,0.36000001430511475
2025-10-01,515000,530000,512000,528000,185505,2.524271844660194,24478,-715,-78136,54373,0,8839.0,3.5299999713897705,327090.0,0.3700000047683716
2025-09-30,482000,517000,482000,515000,245234,4.781281790437437,57590,-1881,-113979,58270,0,19971.0,6.110000133514404,338822.0,0.3799999952316284
2025-09-29,493500,495500,486500,491500,85782,0.0,5486,-434,-8477,3425,0,3829.0,3.4700000286102295,371125.0,0.41999998688697815
2025-09-26,501000,503000,484000,491500,194966,-2.6732673267326734,-24647,1868,56469,-33690,0,27308.0,10.4399995803833,370593.0,0.41999998688697815
2025-09-25,501000,532000,500000,505000,311348,0.7984031936127743,18527,-2725,-114842,99040,0,16535.0,3.7300000190734863,359644.0,0.4099999964237213
2025-09-24,497000,503000,492000,501000,124334,1.314459049544995,29278,-606,-25028,-3644,0,11161.0,7.079999923706055,367547.0,0.4099999964237213
2025-09-23,495000,499000,491000,494500,117984,-0.6030150753768844,7240,597,1158,-8995,0,15387.0,10.40999984741211,368286.0,0.4099999964237213
2025-09-22,496000,507000,495500,497500,128819,0.9127789046653144,-25551,86,-31529,56994,0,7416.0,4.409999847412109,362305.0,0.4099999964237213
2025-09-19,500000,501000,490000,493000,183243,-1.3013013013013013,-19529,142,37502,-18115,0,37285.0,16.18000030517578,369448.0,0.41999998688697815
2025-09-18,507000,517000,493000,499500,236988,-1.2845849802371543,-19242,468,19331,-557,0,51497.0,16.309999465942383,357444.0,0.4000000059604645
2025-09-17,506000,508000,499500,506000,128724,0.5964214711729622,-20653,2613,31830,-13790,0,2381.0,1.440000057220459,353015.0,0.4000000059604645
2025-09-16,500000,510000,499000,503000,112061,0.9027081243731194,-43,-439,-22273,22755,0,3371.0,2.1600000858306885,365060.0,0.4099999964237213
2025-09-15,507000,508000,497000,498500,143131,-2.2549019607843137,-49853,435,54108,-4690,0,14866.0,7.579999923706055,376470.0,0.41999998688697815
2025-09-12,513000,513000,501000,510000,260502,-1.3539651837524178,-42435,2026,49795,-9386,0,7204.0,2.190000057220459,364931.0,0.4099999964237213
2025-09-11,509000,517000,503000,517000,187621,2.579365079365079,44643,128,-19494,-25277,0,14063.0,6.03000020980835,363345.0,0.4099999964237213
2025-09-10,500000,508000,497000,504000,202893,0.0,-48412,-1374,35778,14008,0,23060.0,8.520000457763672,381352.0,0.4300000071525574
2025-09-09,513000,514000,500000,504000,163868,-1.36986301369863,-40501,89,12493,27919,0,6945.0,3.2100000381469727,409239.0,0.46000000834465027
2025-09-08,512000,513000,487000,511000,130154,-0.3898635477582846,-12286,1585,8200,2501,0,30968.0,18.739999771118164,432160.0,0.49000000953674316
2025-09-05,507000,514000,495500,513000,163949,0.5882352941176471,584,-1211,-49402,50029,0,27245.0,12.800000190734863,413807.0,0.4699999988079071
2025-09-04,501000,516000,499500,510000,135250,0.9900990099009901,-20905,-207,-22267,43379,0,13224.0,7.079999923706055,398056.0,0.44999998807907104
2025-09-03,510000,515000,500000,505000,141079,-1.7509727626459144,-35518,-601,16986,19133,0,9587.0,4.739999771118164,403866.0,0.44999998807907104
2025-09-02,513000,516000,505000,514000,159224,0.7843137254901961,2530,-135,16964,-19359,0,19425.0,8.329999923706055,396488.0,0.44999998807907104
2025-09-01,520000,523000,505000,510000,223878,-1.9230769230769231,-51460,707,71088,-20335,0,39415.0,12.3100004196167,383677.0,0.4300000071525574
2025-08-29,502000,535000,497000,520000,449361,3.3797216699801194,-18914,452,-45052,63514,0,37137.0,5.480000019073486,358776.0,0.4000000059604645
2025-08-28,527000,527000,491000,503000,686026,-3.45489443378119,69415,-939,129087,-197563,0,93802.0,10.1899995803833,329947.0,0.3700000047683716
2025-08-27,474500,529000,473000,521000,831627,11.324786324786325,50849,-1621,-231682,182454,0,84318.0,6.840000152587891,293909.0,0.33000001311302185
2025-08-26,496500,497500,465000,468000,322203,-3.802672147995889,-73500,621,133596,-60717,0,53599.0,13.050000190734863,319062.0,0.36000001430511475
2025-08-25,491500,494000,470500,486500,233566,0.7246376811594203,-25252,1510,-22240,45982,0,23380.0,7.769999980926514,310349.0,0.3499999940395355
2025-08-22,476000,492000,473000,483000,239635,2.330508474576271,14994,296,-46004,30714,0,57138.0,18.760000228881836,314392.0,0.3499999940395355
2025-08-21,454500,474000,452000,472000,172308,4.772475027746948,35473,-456,-48858,13841,0,19265.0,8.390000343322754,296223.0,0.33000001311302185
2025-08-20,439500,452000,430500,450500,175847,0.6703910614525139,23750,-1122,-9496,-13132,0,11438.0,5.019999980926514,286865.0,0.3199999928474426
2025-08-19,476000,477000,446000,447500,220994,-5.987394957983193,-11276,2044,80948,-71716,0,22842.0,8.029999732971191,282246.0,0.3199999928474426
2025-08-18,479000,491500,474500,476000,215570,-0.20964360587002098,18782,-79,-11489,-7214,0,11162.0,4.099999904632568,261144.0,0.28999999165534973
