일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-13,1119000,1128000,1097000,1105000,233348,-2.2988505747126435,-22757.0,3366.0,51648.0,-32257.0,0.0,8557.0,3.059999942779541,73755.0,0.14000000059604645
2026-02-12,1139000,1140000,1120000,1131000,210941,0.08849557522123894,-15148.0,-398.0,27501.0,-11955.0,0.0,13674.0,5.559999942779541,73755.0,0.14000000059604645
2026-02-11,1153000,1163000,1125000,1130000,248096,-1.3961605584642234,-9587.0,581.0,43404.0,-34398.0,0.0,3362.0,1.159999966621399,73755.0,0.14000000059604645
2026-02-10,1220000,1249000,1112000,1146000,504416,-3.9396479463537304,-77026.0,2216.0,190610.0,-115800.0,0.0,13343.0,2.2100000381469727,67457.0,0.12999999523162842
2026-02-09,1246000,1260000,1173000,1193000,275049,1.0160880609652836,-17912.0,-3075.0,-28569.0,49556.0,0.0,12070.0,3.75,68891.0,0.12999999523162842
2026-02-06,1159000,1192000,1110000,1181000,295504,-3.7489812550937245,29352.0,942.0,41616.0,-71910.0,0.0,3005.0,0.8700000047683716,69426.0,0.12999999523162842
2026-02-05,1290000,1300000,1208000,1227000,333625,-7.326283987915408,-21339.0,6534.0,118584.0,-103779.0,0.0,6167.0,1.559999942779541,69022.0,0.12999999523162842
2026-02-04,1315000,1333000,1287000,1324000,143922,1.924557351809084,19136.0,-148.0,-25490.0,6502.0,0.0,2038.0,1.1699999570846558,69866.0,0.14000000059604645
2026-02-03,1280000,1315000,1268000,1299000,203785,4.842615012106537,34516.0,-131.0,-24058.0,-10327.0,0.0,4852.0,1.9700000286102295,71312.0,0.14000000059604645
2026-02-02,1320000,1348000,1207000,1239000,312729,-4.6923076923076925,228.0,2298.0,29395.0,-31921.0,0.0,7072.0,1.809999942779541,71606.0,0.1400000005960464
2026-01-30,1340000,1348000,1271000,1300000,247057,0.0,6786.0,465.0,29057.0,-36308.0,0.0,7780.0,2.549999952316284,67387.0,0.1299999952316284
2026-01-29,1301000,1329000,1268000,1300000,227097,0.9316770186335404,8952.0,765.0,-23939.0,14222.0,0.0,8864.0,3.130000114440918,67478.0,0.1299999952316284
2026-01-28,1280000,1299000,1251000,1288000,180905,4.715447154471545,6897.0,-250.0,-27626.0,20979.0,0.0,7770.0,3.390000104904175,73754.0,0.1400000005960464
2026-01-27,1295000,1295000,1230000,1230000,154527,-2.535657686212361,-4138.0,-1399.0,35051.0,-29514.0,0.0,3921.0,2.0899999141693115,74088.0,0.1400000005960464
