일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-23,44950,45750,43750,45200,1576718,4.2675893886966545,107875,7456,-181258,65927,0,52692.0,3.319999933242798,306229.0,0.3700000047683716
2025-12-22,43300,44600,42550,43350,921823,2.603550295857988,32610,8533,-137699,96556,0,31483.0,3.4200000762939453,306229.0,0.3700000047683716
2025-12-19,40100,42700,39500,42250,828804,6.022584692597239,5525,2966,-168628,160137,0,27508.0,3.319999933242798,306229.0,0.3700000047683716
2025-12-18,40800,40800,39450,39850,915115,-4.206730769230769,-52956,-9030,258930,-196944,0,6498.0,0.7099999785423279,235146.0,0.2800000011920929
2025-12-17,42350,42700,41000,41600,701875,-0.9523809523809524,-57278,-224,211712,-154210,0,40334.0,5.75,234507.0,0.2800000011920929
2025-12-16,43800,43800,41700,42000,800130,-4.218928164196123,27492,-973,248733,-275252,0,51529.0,6.440000057220459,251574.0,0.30000001192092896
2025-12-15,45700,45700,43800,43850,778910,-4.9837486457204765,-78759,-1540,436003,-355704,0,34006.0,4.369999885559082,245218.0,0.28999999165534973
2025-12-12,45900,46850,45200,46150,716233,2.2148394241417497,152996,1616,-111074,-43538,0,40330.0,5.630000114440918,264554.0,0.3199999928474426
2025-12-11,45700,46150,44100,45150,2184203,-0.7692307692307693,1284239,-8858,-96820,-1178561,0,304279.0,13.93000030517578,270143.0,0.3199999928474426
2025-12-10,46400,47250,45200,45500,732663,-1.9396551724137927,40601,-3502,3413,-40512,0,26126.0,3.569999933242798,172441.0,0.209999993443489
2025-12-09,43750,47250,43350,46400,1840289,6.057142857142858,91571,-6098,-425122,339649,0,31585.0,1.7200000286102295,161732.0,0.1899999976158142
2025-12-08,43550,44000,41800,43750,567893,1.508120649651972,-22991,2590,-59653,80054,0,32902.0,5.789999961853027,182595.0,0.2199999988079071
2025-12-05,42600,43150,42000,43100,436402,0.8187134502923977,-41172,-7278,-4393,52843,0,61484.0,14.09000015258789,222413.0,0.270000010728836
2025-12-04,43900,44000,42400,42750,481450,-1.94954128440367,-56630,-1007,29115,28522,0,77083.0,16.010000228881836,219591.0,0.2599999904632568
2025-12-03,43050,43850,42750,43600,637322,1.988304093567252,27649,16161,-61895,18085,0,81595.0,12.800000190734863,174395.0,0.209999993443489
2025-12-02,41650,42850,41500,42750,684328,3.0120481927710845,-22215,4805,-120294,137704,0,109838.0,16.049999237060547,120132.0,0.1400000005960464
2025-12-01,42250,42350,40750,41500,808451,-1.6587677725118484,-79570,-1599,-54458,135627,0,23933.0,2.9600000381469727,111071.0,0.1299999952316284
2025-11-28,44600,45450,42100,42200,941248,-4.954954954954955,-46071,-324,343191,-296796,0,145282.0,15.4399995803833,111071.0,0.1299999952316284
2025-11-27,44000,45700,43750,44400,795279,1.36986301369863,3220,4114,-122113,114779,0,33618.0,4.230000019073486,107313.0,0.1299999952316284
2025-11-26,42500,43850,41750,43800,700986,3.9145907473309607,44221,-1851,-241836,199466,0,26338.0,3.759999990463257,106261.0,0.1299999952316284
2025-11-25,43300,43750,41850,42150,627180,-1.633605600933489,-24115,-1582,80340,-54643,0,46395.0,7.400000095367432,101279.0,0.1199999973177909
2025-11-24,41850,44450,41700,42850,1293282,2.7577937649880093,-82643,2005,-88044,168682,0,52257.0,4.039999961853027,96166.0,0.1199999973177909
2025-11-21,41700,43250,41650,41700,710669,-3.248259860788863,-51156,-2125,-54578,107859,0,65462.0,9.210000038146973,97962.0,0.1199999973177909
2025-11-20,42700,43600,42000,43100,693149,2.25385527876631,-26839,-12025,-65980,104844,0,56897.0,8.210000038146973,97962.0,0.1199999973177909
2025-11-19,41700,43100,39400,42150,1303660,1.8115942028985508,10160,19616,-5897,-23879,0,154291.0,11.84000015258789,96467.0,0.1199999973177909
2025-11-18,41900,42600,41000,41400,1002911,-2.2432113341204247,-134187,2668,-20136,151655,0,49934.0,4.980000019073486,97607.0,0.1199999973177909
2025-11-17,41900,42450,40550,42350,952322,2.294685990338164,-49365,4648,-52016,96733,0,11975.0,1.2599999904632568,96900.0,0.1199999973177909
2025-11-14,41900,43450,40600,41400,2894732,-3.2710280373831773,-1820072,4943,605193,1209936,0,23342.0,0.8100000023841858,95838.0,0.1099999994039535
2025-11-13,42300,43750,41800,42800,841342,1.301775147928994,-46161,7058,16905,22198,0,43426.0,5.159999847412109,104951.0,0.1299999952316284
2025-11-12,42500,43300,41600,42250,804033,-0.5882352941176471,-157981,-7559,53059,112481,0,43048.0,5.349999904632568,102796.0,0.1199999973177909
2025-11-11,44500,44850,42100,42500,1186210,-3.737259343148358,-160742,-399,215997,-54856,0,72878.0,6.139999866485596,86905.0,0.1000000014901161
2025-11-10,43850,45300,42450,44150,1309244,1.145475372279496,-196271,8560,194622,-6911,0,90887.0,6.940000057220459,86905.0,0.1000000014901161
2025-11-07,43000,45400,41550,43650,1765564,-3.642384105960265,-138106,-4801,57906,85001,0,64849.0,3.670000076293945,86905.0,0.1000000014901161
2025-11-06,46600,47250,45300,45300,947813,-0.4395604395604395,11267,3437,65592,-80296,0,108792.0,11.479999542236328,86905.0,0.1000000014901161
2025-11-05,47700,47700,44650,45500,1475693,-5.797101449275362,-18613,1466,110708,-93561,0,108426.0,7.349999904632568,86905.0,0.1000000014901161
2025-11-04,51200,51300,48300,48300,1682992,-5.6640625,28974,-3644,510411,-535741,0,98248.0,5.840000152587891,86905.0,0.1000000014901161
2025-11-03,49650,53900,49650,51200,2653882,3.643724696356275,24095,8584,-799694,767015,0,48839.0,1.840000033378601,86905.0,0.1000000014901161
2025-10-31,49500,50400,48250,49400,1083853,-0.4032258064516129,24483,-18276,-270332,264125,0,25874.0,2.390000104904175,86905.0,0.1000000014901161
2025-10-30,53100,53200,48800,49600,2530123,0.9155645981688708,25566,-8588,300595,-317573,0,187070.0,7.389999866485596,86905.0,0.1000000014901161
2025-10-29,48650,49850,47500,49150,1575101,1.970954356846473,26228,3702,-178103,148173,0,78185.0,4.960000038146973,86905.0,0.1000000014901161
2025-10-28,50700,50700,47950,48200,2182355,-6.042884990253411,-34968,2232,969957,-937221,0,164511.0,7.539999961853027,86905.0,0.1000000014901161
2025-10-27,50100,52100,49250,51300,2943550,4.9079754601227,19352,-24388,-321546,326582,0,88735.0,3.009999990463257,86905.0,0.1000000014901161
2025-10-24,48700,49450,47350,48900,1161274,0.6172839506172839,7005,-92,-93035,86122,0,22028.0,1.899999976158142,86905.0,0.1000000014901161
2025-10-23,48150,49800,47800,48600,1725258,-1.0183299389002036,-9077,4287,82164,-77374,0,70636.0,4.090000152587891,86905.0,0.1000000014901161
2025-10-22,48700,50900,46050,49100,2717610,2.8272251308900525,67145,-337,147073,-213881,0,135174.0,4.96999979019165,86905.0,0.1000000014901161
2025-10-21,46250,47950,46250,47750,2267149,3.354978354978355,-137982,14037,164817,-40872,0,242042.0,10.68000030517578,86905.0,0.1000000014901161
2025-10-20,46400,48500,45600,46200,1592871,-0.5382131324004306,-3776,-6209,168263,-158278,0,54376.0,3.4100000858306885,86905.0,0.1000000014901161
2025-10-17,49000,49250,46200,46450,1401645,-2.722513089005236,-56621,-45479,85257,16843,0,49071.0,3.5,86905.0,0.1000000014901161
2025-10-16,47800,48475,46775,47750,1285221,1.058201058201058,55867,-5114,-61868,11115,0,63093.0,4.909999847412109,86905.0,0.1000000014901161
2025-10-15,44500,47900,44050,47250,2431836,8.123569794050344,113897,48782,-606294,443615,0,61101.0,2.509999990463257,115553.0,0.1400000005960464
