일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-01-08,59200,61500,58900,60300,2319754,3.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,59700,60300,57700,58500,1302865,-2.9850746268656714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,57600,60400,57000,60300,1982941,3.9655172413793105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,56100,58000,55800,58000,1239616,4.882459312839059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,55100,56100,54400,55300,689585,1.6544117647058825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,55200,55800,54200,54400,782435,-1.8050541516245486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,54700,56000,54600,55400,1340569,1.2797074954296161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,57300,57300,54700,54700,1536595,-2.841918294849023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,59700,60900,56000,56300,3159557,-4.2517006802721085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,58300,62200,58300,58800,7002880,3.5211267605633805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,55300,57600,54000,56800,4190615,4.6040515653775325,522143.0,-9887.0,-904062.0,391806.0,0.0,53037.0,1.2699999809265137,3259080.0,1.7300000190734863
2025-12-19,49500,55800,48900,54300,5415165,10.929519918283964,574489.0,-4380.0,-1229161.0,659052.0,0.0,165389.0,3.049999952316284,3578403.0,1.8899999856948853
2025-12-18,48850,50600,48650,48950,1262733,-1.6080402010050252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,50800,50800,49350,49750,1208899,-1.0934393638170974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,52600,52700,50000,50300,1898651,-4.554079696394687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,52800,58400,52000,52700,6654388,-0.7532956685499058,205249.0,-5826.0,-276317.0,76894.0,0.0,286032.0,4.300000190734863,3335911.0,1.7699999809265137
2025-12-12,48300,54600,47950,53100,7435911,10.509885535900104,794797.0,-24869.0,-1124697.0,354769.0,0.0,301077.0,4.050000190734863,3464060.0,1.830000042915344
2025-12-11,47850,48200,46850,48050,921562,1.1578947368421053,125056.0,-1876.0,3708.0,-126888.0,0.0,151164.0,16.399999618530273,3755524.0,1.9900000095367432
2025-12-10,48400,49100,47400,47500,792154,-1.7580144777662874,-62172.0,810.0,146240.0,-84878.0,0.0,158805.0,20.049999237060547,3773628.0,2.0
2025-12-09,48300,48900,47650,48350,667991,0.0,15575.0,-294.0,37681.0,-52962.0,0.0,60534.0,9.0600004196167,3657385.0,1.940000057220459
2025-12-08,47800,48400,47000,48350,1012553,2.4364406779661016,50115.0,-9958.0,16.0,-40173.0,0.0,100352.0,9.90999984741211,3662301.0,1.940000057220459
2025-12-05,46150,47250,45950,47200,696691,2.275189599133261,75784.0,9035.0,-138018.0,53199.0,0.0,53232.0,7.639999866485596,3696799.0,1.9600000381469729
2025-12-04,46900,47200,45700,46150,629736,-1.3888888888888888,-60960.0,81.0,177388.0,-116509.0,0.0,74062.0,11.760000228881836,3822323.0,2.0199999809265137
2025-12-03,45950,47200,45950,46800,847787,2.7442371020856204,39204.0,-903.0,50266.0,-88567.0,0.0,98160.0,11.579999923706056,3724161.0,1.9700000286102293
2025-12-02,45400,45850,44750,45550,678895,0.4410143329658214,11792.0,-18695.0,-86197.0,93100.0,0.0,41484.0,6.110000133514404,3670536.0,1.940000057220459
2025-12-01,46200,46600,45200,45350,807711,-1.83982683982684,-57823.0,-1262.0,-81658.0,140743.0,0.0,62637.0,7.75,3764430.0,1.9900000095367432
2025-11-28,46350,47200,46000,46200,716188,-0.3236245954692557,101.0,467.0,19456.0,-20024.0,0.0,44643.0,6.230000019073486,3929978.0,2.0799999237060547
2025-11-27,47150,47600,46350,46350,808740,-0.6430868167202572,-24716.0,1202.0,110547.0,-87033.0,0.0,66794.0,8.260000228881836,4023204.0,2.130000114440918
