일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-27,58500,60600,58200,59900,120802,1.5254237288135595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-26,58600,60900,57800,59000,167036,1.3745704467353952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-25,59600,59700,58100,58200,92388,-1.854974704890388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-24,57500,59500,57000,59300,98377,2.0654044750430294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-23,59000,59400,57800,58100,93475,-0.8532423208191127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-20,59800,60400,58500,58600,129598,-2.980132450331126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-19,60200,61600,58300,60400,225423,-2.4232633279483036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,59600,63200,59600,61900,293170,1.1437908496732023,-3059.0,-7052.0,-3901.0,14012.0,0.0,3480.0,0.7300000190734863,74815.0,0.5099999904632568
2026-02-12,65400,66600,61100,61200,884400,3.728813559322034,-94228.0,1403.0,101937.0,-9112.0,0.0,5405.0,0.3600000143051147,81911.0,0.5600000023841858
2026-02-11,58800,61400,57500,59000,388987,2.0761245674740483,18610.0,640.0,-30231.0,10981.0,0.0,1195.0,0.1899999976158142,68413.0,0.4699999988079071
2026-02-10,56700,61300,55900,57800,696302,3.0303030303030303,1766.0,130.0,7028.0,-8924.0,0.0,7006.0,0.6200000047683716,70958.0,0.4900000095367431
2026-02-09,56700,57300,54600,56100,285017,-1.232394366197183,691.0,-3359.0,-5207.0,7875.0,0.0,187.0,0.0399999991059303,62259.0,0.4300000071525574
2026-02-06,57300,58600,53300,56800,724352,-7.792207792207792,-6312.0,-9464.0,5158.0,10618.0,0.0,161.0,0.0099999997764825,59311.0,0.4099999964237213
2026-02-05,63800,70100,60300,61600,2222579,-4.496124031007752,-2041.0,-3318.0,25823.0,-20464.0,0.0,7338.0,0.1800000071525573,63928.0,0.4399999976158142
2026-02-04,63000,68400,61600,64500,2639193,-1.5267175572519085,-185586.0,-138.0,165846.0,19878.0,0.0,19993.0,0.4900000095367431,46409.0,0.3199999928474426
2026-02-03,52100,65500,51500,65500,1091695,29.96031746031746,-2821.0,-7971.0,1147.0,9645.0,0.0,8920.0,0.4399999976158142,61841.0,0.4199999868869781
2026-02-02,49850,51800,49500,50400,140392,-0.3952569169960474,-7358.0,-1030.0,-3521.0,11909.0,0.0,4673.0,2.140000104904175,62752.0,0.4300000071525574
2026-01-30,52400,52400,49800,50600,135642,-3.619047619047619,-4050.0,0.0,19331.0,-15281.0,0.0,2668.0,1.2200000286102295,61342.0,0.4199999868869781
2026-01-29,51500,52800,50200,52500,148945,1.351351351351351,1200.0,-40.0,-15869.0,14709.0,0.0,2266.0,0.959999978542328,56261.0,0.3899999856948852
2026-01-28,51400,52000,50700,51800,118067,1.171875,-2470.0,828.0,702.0,940.0,0.0,869.0,0.4600000083446502,61869.0,0.4199999868869781
2026-01-27,52000,52000,50600,51200,75938,-1.1583011583011582,-1632.0,-4.0,14729.0,-13093.0,0.0,1898.0,1.590000033378601,61234.0,0.4199999868869781
2026-01-26,51000,52200,50700,51800,129547,-1.893939393939394,1420.0,1411.0,6512.0,-9343.0,0.0,3186.0,1.5499999523162842,53954.0,0.3700000047683716
